predestinate	1
cleaving	2
new-devis'd	1
win	115
blames	2
edifice	2
general'	1
gainer	2
yours-	5
city	122
moans	5
frown'd	5
saffron	4
ravisher	2
slut	2
backbite	1
eager	9
ungart'red	1
inviting	5
emboss'd	4
france's	1
them-	21
quier'd	1
albion	3
larron	1
idolatrous	1
bergamo	1
[kneels]	12
window]	1
